content,author,year,date_mm_dd,split,VST,HST,SA,OR,WB
"I preached in St. Agnes at eight. The congregation in Redruth at one was the largest I ever had seen there ; but small compared to that which assembled at five in the natural amphitheatre at Gwennap1 far the finest I know in the kingdom. It is a round, green hollow, gently shelving down, about fifty feet deep ; but I suppose it is two hundred across one way, and near three hundred the other. I believe there were full twenty thousand people ; and, the evening being calm, all could hear.",wesley,1766,09-14,uncertain,1,0,0,0,0
Thomas Jones3 gave between three and four hundred pounds towards the preaching-house. Towards that in Dublin Mr. Lunell 4 gave four hundred. I know no such benefactors among the Methodists in England.,wesley,1771,05-10,uncertain,0,0,0,1,0
"I preached at Sittingbourne and Chatham, and on Saturday came to London.4 5 Mon. 25 (being Christmas Day). — We had such a congregation at four as I have not seen for many years. And from morning to evening we had abundant proof that God is visiting and redeeming His people. Tues. 26.® — I read the letters from our preachers 6 in ! Rev. Jacob Chapman, Presbyterian minister (see above, p. 42, and below, P- 434- 2 Of Carborough. A member of the society at Ewhurst. He persuaded the Rev. John Richardson, while curate of Ewhurst, to hear the Methodists (see Coke’s sermon on the death of Richardson, 1792 ; also below, Jan. 20, 1778). 3 The second son of the late Sir Thomas. Lady I’Anson was still living ; she died in February 1774. * On Dec. 24 he wrote to Mrs. Barton ( Works , vol. xii. p. 375). 5 On Dec. 26 he wrote to Benson ( Works , vol. xii. p. 411), and on Dec. 30 to Walter Sellon (Works, vol. xiii. p. 44). 6 On Oct. 31, 1769, Joseph Pilmoor wrote from Philadelphia. They had had a tedious passage of nine weeks. On arrival they found Captain Webb in town with a society of about a hundred members. With the stage built for the horse-race as a pulpit, he had preached. He was but a young preacher of five years’ standing, and there is a touch of pathos in his reference to loneliness. On Nov. 4 Richard Boardman wrote. Leaving Pilmoor in Philadelphia, he had set out for New York. On his way there some soldiers had welcomed him, and found a Presbyterian meeting-house in which he might preach to them. The house in New York, he reports, contained about Jan.",wesley,1770,01-22,uncertain,1,0,0,0,0
"I found we were still honourable men here, some of eminence in the city being both * hearers ’ and ‘ doers of the word.’ I employed Monday } Tuesday , and part of Wednesday in speaking severally to the members of the society, and was glad to find the greater part of them had tasted that the Lord is gracious.",wesley,1767,04-18,uncertain,1,0,0,0,1
"We rode to Chapel-en-le-Frith. We had a rough salutation in riding through the town ; at the end of which, a multitude of people being gathered together in a convenient meadow, I preached on ‘ By grace are ye saved through faith.’ 1 ‘Warn our people against calling plain preaching-houses,’ Wesley said at our houses meeting-houses ; call them one of the early Conferences. John Wesley s Journal [April 1766. God spoke in His word. It was an acceptable time, and few went empty away. In riding over the dreary mountains of the High Peak we met with several storms ; but we were no worse when we came to Rotherham, where I preached in the evening. The spirit of the congregation was able to enliven the dullest preacher. Indeed it was good to be here.",wesley,1766,04-15,uncertain,1,0,0,0,0
"I rode to a little town called New Mills, in the High Peak of Derbyshire. I preached at noon in their large new chapel1 2 3 which (in consideration that preaching-houses have need of air) has a casement in every window, three inches square ! That is the custom of the country ! In the evening and the following morning I brought strange things to the ears of many in Manchester concerning the government of their families and the education of their children. But some still made that very silly answer, ‘ Oh, he has no children of his own ! ’ Neither had St. Paul, nor (that we know) any of the apostles. What then? Were they, therefore, unable to instruct parents ? Not so. They were able to instruct every one that had a soul to be saved. April 2, Sat. — I preached at Little Leigh, and in the evening 'at Chester. At eight in the morning, Easter Day , I took my old stand, in the little square at St. Martin’s Ash. The people were as quiet as in the house. While I stayed here I corrected Miss Gilbert’s Journal4 a masterpiece in its kind. What a prodigy of a child ! Soon ripe, and soon gone !",wesley,1768,01-30,uncertain,1,0,0,1,0
"I met several serious clergymen.3 I have long desired that there might be an open, avowed union between all who preach those fundamental truths, Original Sin and Justification by Faith, producing inward and outward holiness ; but all my endeavours have been hitherto ineffectual. God s time is not fully come.",wesley,1764,02-16,uncertain,1,0,0,0,0
"We rode through much wind and rain to Barnard Castle. In the evening I preached in the new preaching-house (not opened before), and at eight in the morning.2 I would have preached abroad on Sunday evening, but the weather drove us into the house. And God was there, both to invite sinners and to comfort believers. Afterwards I spent an hour with those who once believed they were saved from sin. 1 found here, as at London, about a third part who held fast their confidence. The rest had suffered loss, more or less, and two or three were shorn of all their strength.",wesley,1765,05-13,uncertain,1,0,0,0,0
"But if the firft Sublcription does not amount to four thoufand Pounds, then, "" 4. Write a fecond Letter to each (yea if need be, a third) defiring he would be fo kind to add a little to his Sublcription ; tho’ fti 11 on Condition, that he pay nothing ’till the whole four thoufand Pounds are fubferibed. By this means, none will be called upon to pay any Thing, till he is allured, the End will be anfwered. Need I add any Thing to incline you to be, on this Occafion, merciful aftet your Power? Are not you ready of yourfelf to do Good to all Men ; eipeci- ally to them that are of the Houfhold of Faith ? Ready to give every Proof yon can of your Love to your Brethren ; as well as of your Regard for • Your affcCtioriate Brother,"" ~ohn Wesley. J< I beg your Jnfwer within a Week . -timber-' FACSIMILE OF THE CIRCULAR LETTER CONCERNING THE GENERAL DEBT, SENT BY WESLEY ON DECEMBER 12, 1 772. Dec. 1772.] Visiting the Sick drawn from the life. It is not true that no man is capable of malice, or delight in giving pain ; much less that every man is virtuous, and remains so as long as he lives ; nor does the Scripture allow that any action is good which is done without any design to please God. _ Fri- iS.1— I preached at Hertford. Last year there was a fair piospect there ; but the servants of God quarrelled among themselves, till they destroyed the whole work. So that not only the society is no more, but even the preaching is discontinued.2 And hence those who had no religion before are now more hardened than ever.",wesley,1772,12-17,uncertain,0,0,0,1,0
"The fire had not gone out since I was here. I felt it as soon as I began to speak ; and so, it seems, did the whole congregation. At five in the morning the same spirit was in the midst of us, as well as at seven in the evening ; but most of all at the Fell, while I was applying those words, ‘ Believe, and thou shalt be saved.’2 Thur. 2i.— Leaving this house of God, I rode to Carlisle.3 The day was extremely sultry, so that I was faint and feverish 1 It is not known why he visited Whittingham, unless the ‘ friends ’ were the Dales, Miss Lewen, or Lady Maxwell. 2 On June 20 he wrote to Lady Max well ( Works , vol. xii. p. 334). The opening of this correspondence recalls the style of the ‘Cyrus to Aspasia ’ letters. 3 But Methodism was not introduced into Carlisle until 1767. See JV.M. Mag. 1826, pp. 96-8. June 1764.] Keswick, Kendal , Skipton in the evening. However, the next day I got well to Whitehaven. What has continually hurt this poor people is offence. I found the society now all in confusion because a woman had scolded with her neighbour, and another stole a twopenny loaf. I talked largely with those who had been most offended ; and they stood reproved.",wesley,1764,06-16,uncertain,1,0,0,0,0
"I rode over to St. Just, but could not preach abroad because of the violent wind. However, God spoke to many hearts, both this evening and in the morning. SEPT, i, Fri. — I now considered Dr. Erskine’s 1 account of saving faith. He asserts (if I comprehend him right), ‘ It is, in general, an assent to the word of God, in which there is a light, a glory, a brightness, which believers, and they only, perceive. In particular, it is an assent of the understanding to the gospel method of salvation ; in which there is an excellency and glory which only believers see. A supernatural conviction of this is faith.’ But, if this be his judgement, why does he quarrel with me ? For how marvellously small is the difference between us ! Only change the word assent for conviction (which certainly better answers St. Paul’s word, eXeyxos), and do we not come within a hair’s-breadth of each other ? I do not quarrel with the definition of faith in general — ‘ a supernatural assent to the word of God ’ ; though I think a ‘ supernatural conviction of the truths contained in the word of God ’ is clearer. I allow, too, that the Holy Spirit enables us to perceive a peculiar light and glory in the word of God, and particularly in the gospel method of salvation ; but I doubt whether saving faith be, properly, an assent to this light and glory. Is it not rather an assent (if we retain the word) to the truths which God has revealed ; or, more particularly, a divine conviction that ‘ God was in Christ, reconciling the world unto Himself’ ? The congregation at St.",wesley,1769,08-31,uncertain,1,0,0,0,0
