author,year,date_mm_dd,content,word_count
wesley,1763,01-07,"I desired George Bell, with two or three of his friends, to meet me with one or two others.2 We took much pains to convince him of his mistakes, particularly that which he had lately adopted — that the end of the world was to be on February 28, which at first he had earnestly withstood. But we could make no impression upon him at all. He was as unmoved as a rock.",73
wesley,1763,01-09,"I endeavoured (from^i Cor. xii. 11, and the following verses) to guard the sincere against all thoughts of separating from their brethren by showing what need all the members of the body have of each other. But those who wanted the caution most turned all into poison.",47
wesley,1763,01-12,"I returned to London, and the next day strongly enforced, on a large congregation at the Foundery, the words of Isaiah (never more needful) : ‘ He that believeth shall not make haste.’",33
wesley,1763,02-23,"In order to check, if not stop, a growing evil, I preached on ‘ Judge not, that ye be not judged.’ But it had just the contrary effect on many, who construed it into a satire upon G[eorge] Bell, one of whose friends said : ‘ If the devil himself had been in the pulpit he would not have preached such a sermon.’ All this time I did not want for information from all quarters 1 In Wesley’s letters at this time to his brother, the ‘ Turks ’ rival Maxfield. On Feb. 26 he writes : Yesterday Mr. Madan and 1, with a few more, gave the full hearing to the famous Turk and his associate. He is an exquisite wretch ; was originally a Spanish Jew, afterwards a Turk, then a Papist, then a Jew again, then a Protestant, and now at last (under Mr. Lombardi’s wing) a zealous Papist. 3 On Jan. 7 he wrote to The London Chronicle explaining briefly the views of ‘ Mr. Bell and a few others,’ and disowning responsibility for their proceed ings. A month later he again wrote, announcing that Mr. Bell was not ‘ a member of our society, and that neither he [Wesley] nor his people believed that the end of the world or any other signal calamity was due on the 28th instant’ (Tyerman’s Life of Wesley , vol. ii. p. 460 ; see also Life of the Countess of Huntingdon , vol. i. pp. 321, 322). 4 i.e. administering Holy Communion. She died on Feb. 5. Vincent Perronet married Charity, daughter of Thomas Goodhew, Esq., of Clerkenwell, London, on Dec. 4, 1718. Feb. 1763.] Thomas Max fie Id that Mr.",283
wesley,1763,02-23,"M[axfield] was at the bottom of all this ; that he was the life of the cause, that he was continually spiriting up all with whom I was intimate against me ; that he told them I was not capable of teaching them, and insinuated that none was but himself, and that the inevitable consequence must be a division in the society. Yet I was not without hope that, by bearing all things, I should overcome evil with good, till on Tuesday the 25th, while I was sitting with many of our brethren, Mrs. Coventry 1 (then quite intimate with Mr. M[axfield]) came in, threw down her ticket, with those of her husband, daughters, and servants, and said they would hear two doctrines no longer. They had often said before, Mr. M[axfield] preached Perfection, but Mr. W[esley] pulled it down. So I did, that perfection of Benjamin Harris, G. Bell, and all who abetted them. So the breach is made ! The water is let out. Let those who can gather it up. I think it was on Friday the 28th that I received a letter from John Fox, and another from John and Elizabeth Dixon, declaring the same thing.2 Feb. 4, Fri. — Daniel Owen and G. Bell told me they should stay in the society no longer. The next day Robert Lee, with five or six of his friends, spake to the same effect. I now seriously considered whether it was in my power to have prevented this. I did not see that it was, for though I had heard from time to time many objections to Mr. M[axfield]’s conduct, there was no possibility of clearing them up.",280
wesley,1763,02-23,"Above a year ago I desired him to meet me with some that accused him that I might hear them face to face ; but his answer was as follows : December 28, 1761. I have considered the thing since you spoke to me about meeting at Mrs. March’s, and I do not think to be there or to meet them at any '2 On Jan. 30 he preached before the Society for the Reformation of Manners (see Tyerman’s Life of Wesley , vol. ii. pp. 468-9). Wesley and the Methodists had revived the society. In 1763 it numbered 160 members, nearly half of whom were Methodists. The service was held in West Street Chapel, Wesley preaching from the same text his father had taken sixty-five years before on a similar occasion : ‘ Who will rise up with me against the wicked ? ’ The sermon was written at Lewisham, and published as a pamphlet in London. See Green’s Wesley Bibliog., No. 217 ; and below, p. 154. John Wesleys Journal [Feb. 1763. time. It is enough that I was arraigned at the Conference. [At which I earnestly defended him and silenced all his accusers.] I am not convinced that it is my duty to make James Morgan, & c., my judges. If you, sir, or any one of them, have anything to say to me alone I will answer as far as I see good. The next month I wrote him a long letter telling him mildly all I heard or feared concerning him. He took it as a deep affront, and in consequence thereof wrote as follows : January 14, 1762. If you call me proud or humble, angry or meek, it seems to sit much the same on my heart.",294
wesley,1763,02-23,"If you call me John or Judas, Moses or Korah, I am content. As to a separation, I have no such thought ; if you have, and now (as it were) squeeze blood out of a stone, be it to yourself. Several months after, hearing some rumours, I again wrote to him freely. In his answer were the following words : September 23, 1762. Experience teaches me daily that they that preach salvation from the nature of sin will have the same treatment from the others as they had and have from the world; but I am willing to bear it. Your brother is gone out of town. Had he stayed much longer and continued, Sunday after Sunday, to hinder me from preaching, he would have forced me to have got a place to preach in, where I should not have heard what I think the highest truths contradicted. In his next letter he explained himself a little farther : October 16, 1762. We have great opposition on every side. Nature, the world, and the devil will never be reconciled to Christian Perfection. But the great wonder is that Christians will not be reconciled to it; all, almost every one who call themselves ministers of Christ or preachers of Christ contend for sin to remain in the heart as long as we live, as though it were the only thing Christ delighted to behold in His members. I long to have your heart set at full liberty. I know you will then see things in a wonderful different light from what it is possible to see them before. The day after the first separation, viz.",275
wesley,1763,02-23,"January 26, I wrote him the following note : My dear Brother, For many years I and all the preachers in connexion with me have taught that every believer may and ought to grow in grace. Feb. 1763.] Thomas Maxfield Lately you have taught, or seemed to teach, the contrary. The effect of this is, when I speak as I have done from the beginning, those who believe what you say will not bear it. Nay, they will renounce connexion with us, as Mr. and Mrs. Coventry did last night. This breach lies wholly upon you. You have contradicted what I taught from the beginning. Hence it is that many cannot bear it, but when I speak as I always have done they separate from the society. Is this for your honour, or to the glory of God ? Oh, Tommy, seek counsel, not from man, but God ; not from brother B[ell], but Jesus Christ ! I am Your affectionate brother, J.w. Things now ripened apace for a farther separation, to prevent which (if it were possible) I desired all our preachers, as they had time, to be present at all meetings when I could not myself, particularly at the Friday meeting in the chapel at West Street. At this Mr. M[axfield] was highly offended, and wrote to me as follows : February 5, 1763. I wrote to you to ask if those who before met at brother Guilford’s 1 might not meet in the chapel. Soon after you came to town the preachers were brought into the meeting, though you told me again and again they should not come.",271
wesley,1763,02-23,"[True; but since I said this there has been an entire change in the situation of things.] Had I known this I would rather have paid for a room out of my own pocket. I am not speaking of the people that met at the Foundery before, though I let some of them come to that meeting. If you intend to have the preachers there to watch, and others that I think very unfit, and will not give me liberty to give leave to some that I think fit to be there, I shall not think it my duty to meet them. So from this time he kept a separate meeting elsewhere.2",112
wesley,1763,03-06,"Knowing many were greatly tempted on occasion of these occurrences, I preached on (1 Cor. x. 13) ‘ God is faith- 1 Joseph Guilford, who began to travel in 1761. Under a sermon preached in the Foundery by Thomas Olivers he was awakened {Wesley’s Veterans, vol. i. p. 230, or E.M.P. vol. ii. p. 78)- See reference in Life of Mrs. Fletcher , p. 3 1 8 , to a meeting of four hours in his house ; also to Miss Bosanquet’s conversion while he was praying. Atmore’s Memorial gives an account of his death ; see also below, May 18, 1777, for Wesley’s fine tribute. 2 Maxfield preached at Snowsfields Chapel. See below, pp. 12 (pars. 15-17), and 39. He remained there two or or three years, then removed to Rope- maker’s Alley, Little Moorfields, and thence finally to Princes Street, Moorfields. See Wilson’s History of Dissenting Meeting-houses , vols. iii. and iv. 8 John Wesley's Journal. [Feb.i763. ful, who will not suffer you to be tempted above that ye are able; but will with the temptation also make a way to escape, that ye may be able to bear it.’ In the evening we had a love- feast, at which many spoke with all simplicity, and their words were like fire. I hardly know when we have had so refreshing a season.",224
wesley,1763,03-07,"One who is very intimate with them that had left us told me in plain terms, ‘ Sir, the case lies here ; they say you are only an hypocrite, and therefore they can have no fellowship with you.’ So now the wonder is over. First, it was revealed to them that all the people were dead to God. Then they saw that all the preachers were so too ; only, for a time, they excepted me. At last they discern me to be blind and dead too. Now let him help them that can ! 1 Thur. io. — I rode to Brentford, expecting to find disagreeable work there also ; but I was happily disappointed. Not one seemed inclined to leave the society, and some were added to it ; and the congregation was not only quiet, but more deeply attentive than is usual in this place. Hence I rode, on Friday the nth, to Shoreham, and buried the remains of Mrs. P[erronet], who, after a long, distressing illness, on Saturday, the 5th instant, fell asleep.2",178
wesley,1763,03-12,"I visited the classes at Snowsfields, where I was told many would go away ; but the time was not come. As yet we have lost none, though some are held as by a single hair.",36
wesley,1763,03-15,"I rode to Deptford, and found the society there united in faith and love. During the sermon in the afternoon one poor mourner found peace with God. In the evening I preached at Welling, and on Wednesday the 16th3 rode on to Sevenoaks. Here I was grieved to find one who did run well quite hardened by the deceitfulness of sin ; but in the evening God looked upon him once more, and melted him into tears of love.",79
wesley,1763,03-17,"Light from above broke into the heart of another hard-hearted sinner. At the same time many were On Feb. 8 he wrote to his brother Methodist Recorder for September 5, 1912. Charles {Works, vol. xii. p. 124). 3 ‘Thursday 17’ (1st ed., 1774, and See above, Jan. 10; see also the Benson’s, 1809-13). Feb. 1763.] A False Prophet delivered from doubts and fears, and ‘ knew the things which were freely given them of God.’ On Friday I returned to London-",81
wesley,1763,04-21,"Observing the terror occasioned by that wonderful prophecy 1 to spread far and wide, I endeavoured to draw some good therefrom by strongly exhorting the congregation at Wapping to ‘seek the Lord while He might be found.’ But at the same time I thought it incumbent upon me to declare (as indeed I had done from the hour I heard it) that ‘ it must be false, if the Bible be true.’ The three next days I spent in the tedious work of transcribing the names of the society. I found about thirty of those who thought they were saved from sin had separated from their brethren ; but above four hundred, who witnessed the same confession, seemed more united than ever.2 Mon. 2§.3 — Preaching in the evening at Spitalfields on ‘ Prepare to meet thy God,’ I largely showed the utter absurdity of the supposition that the world was to end that night. But notwithstanding all I could say, many were afraid to go to bed, and some wandered about in the fields, being persuaded that, if the world did not end, at least London would be swallowed up by an earthquake. I went to bed at my usual time, and was fast asleep about ten o’clock.4 1 Bell had prophesied the end of the world on Feb. 28 ; this adds point to Wesley’s modest remark on the Book of Revelation (above, vol. iv. p. 540). 2 On Feb. 26 he wrote to Charles Wesley ( Works , vol. xii. p. 125 ; and see above, Jan. 5, 1763). 3 On the day before the 28th Bell and his followers ascended a mound near the site of St. Luke’s Hospital.",283
wesley,1763,04-21,"There he was arrested, taken before a magistrate, and committed to prison, to await his predicted end of the world. Southey traces him to the end of his life. ‘ Passing from one extreme to another, the ignorant enthusiast became an ignorant infidel, turned fanatic in politics, as he had been in religion, and, having gone through all the degrees of disaffection and disloyalty, died at a great old age a radical reformer’ (Southey’s Life oj Wesley, vol. ii. pp. 344-5 ; in the Cavendish ed. chap. xxiv. p. 421). 4 On March 6 he wrote to his brother Charles respecting his journey the day following to Norwich, where he anticipates ‘ rough work ; but the turbulent spirits must bend or break.’ On March 18 he wrote from Norwich to Lloyd's Evening Post, in reply to ‘ a pert, empty, self-sufficient man, who, calling himself Philodemas,’ had unjustly charged the Methodists with the absurdities of Mr. Bell. On the 20th he wrote to Lady Huntingdon assuring her also that he was not a jot more accountable for the prophecies of George Bell and his friends than Mr. Whitefield. He complains of the desertion of many friends. Only Mr. Romaine had shown a truly sympathizing spirit. See Life of the Countess 01 Huntitigdon, vol. i. p. 329. IO John Wesley s journal [April 1763. MARCH 7, Mon.— I took the machine to Norwich, and, after spending a few quiet, comfortable days in Norwich, Yarmouth, and Colchester, without any jar or contention, on Saturday the 19th returned to London.",258
wesley,1763,04-28,"I retired to Lewisham, and wrote the sermon on ‘ Sin in Believers,’ in order to remove a mistake which some were labouring to propagate — that there is no sin in any that are justified.1 APRIL 11, Mon. — Leaving things, as it seemed, pretty well settled in London, I took the machine for Bristol, where, on Tuesday the 19th, I paid the last office of love to Nicholas Gilbert2 who was a good man and an excellent preacher, and likely to have been of great use. But God saw it best to snatch him hence by a fever in the dawn of his usefulness.",106
